Recall	Trained on Michael set (area: 0.59)	Trained on Wookie set (area: 0.70)
7.939698492462311519e-01	3.912593658831240995e-01	6.382493110714864137e-01
7.989949748743718771e-01	3.266331658291457551e-01	6.397082185119143949e-01
8.040201005025126024e-01	3.280054892938588651e-01	6.261686338670094942e-01
8.090452261306533277e-01	3.293778127585719750e-01	6.276294262007713343e-01
8.140703517587939420e-01	3.307501362232850850e-01	6.056701417535438337e-01
8.190954773869346672e-01	3.321224596879981950e-01	6.071424007822417979e-01
8.241206030150753925e-01	3.078435656543587751e-01	6.085969060991230917e-01
8.291457286432161178e-01	3.091292583317927778e-01	6.100475142597520106e-01
8.341708542713568431e-01	3.104149510092267805e-01	5.509045751588196316e-01
8.391959798994974573e-01	3.117006436866607277e-01	5.523933715282582924e-01
8.442211055276381826e-01	3.129863363640947305e-01	5.502557350030007344e-01
8.492462311557789079e-01	3.142720290415287332e-01	5.517273149552192057e-01
8.542713567839196331e-01	1.861319499670490429e-01	5.392158627705840868e-01
8.592964824120603584e-01	1.870178920078097717e-01	5.406760736250314503e-01
8.643216080402009727e-01	1.879038340485704728e-01	5.224585872040010681e-01
8.693467336683416979e-01	1.887897760893312016e-01	5.239079662643263413e-01
8.743718592964824232e-01	1.896757181300919304e-01	5.160406977456023503e-01
8.793969849246231485e-01	1.905616601708526592e-01	5.174749487080372301e-01
8.844221105527638738e-01	1.525854674593291882e-01	5.158677926556487492e-01
8.894472361809044880e-01	1.533169616734650076e-01	5.172858717632771164e-01
8.944723618090452133e-01	1.540484558876008547e-01	5.186893602303762618e-01
8.994974874371859386e-01	1.547799501017367019e-01	5.200910453598818206e-01
9.045226130653266639e-01	1.555114443158725768e-01	4.851192307925690228e-01
9.095477386934673891e-01	1.562429385300084239e-01	4.865061897377174205e-01
9.145728643216080034e-01	1.487125763243192511e-01	4.852909147787796140e-01
9.195979899497487287e-01	1.494054918016832767e-01	4.866627406988787707e-01
9.246231155778894539e-01	1.500984072790473300e-01	4.635544556955632500e-01
9.296482412060301792e-01	1.507913227564113834e-01	4.649054316810181664e-01
9.346733668341709045e-01	1.514842382337754090e-01	4.505127364806194024e-01
9.396984924623115187e-01	1.521771537111394346e-01	4.518432463319944081e-01
9.447236180904522440e-01	1.354594124399966515e-01	4.384400469184856486e-01
9.497487437185929693e-01	1.360803592475728352e-01	4.397493496768943855e-01
9.547738693467336946e-01	1.367013060551489911e-01	4.272322535161393042e-01
9.597989949748744198e-01	1.373222528627251471e-01	4.285199218385328246e-01
9.648241206030150341e-01	1.379431996703013030e-01	4.114670460869541135e-01
9.698492462311557594e-01	1.385641464778774590e-01	4.127281250771039911e-01
9.748743718592964846e-01	1.319763619209053385e-01	4.139788375704704371e-01
9.798994974874372099e-01	1.325652165208512645e-01	4.152292294505343095e-01
9.849246231155779352e-01	1.331540711207971905e-01	3.870128781936547080e-01
9.899497487437186605e-01	1.337429257207430888e-01	3.882231909896867728e-01
9.949748743718592747e-01	1.343317803206889871e-01	3.637945885680911040e-01
1.000000000000000000e+00	1.349206349206349131e-01	3.649635036496350349e-01
