Recall	Trained model (area: 0.70)	Random classifier (area: 0.33)
0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
5.025125628140703592e-03	1.000000000000000000e+00	2.512562814070351536e-01
1.005025125628140718e-02	1.000000000000000000e+00	1.254885538805136924e-01
1.507537688442210991e-02	1.000000000000000000e+00	1.743439419318816297e-01
2.010050251256281437e-02	1.000000000000000000e+00	1.338777219430485610e-01
2.512562814070351883e-02	1.000000000000000000e+00	1.610971524288107304e-01
3.015075376884421982e-02	1.000000000000000000e+00	1.771603113607252145e-01
3.517587939698492427e-02	1.000000000000000000e+00	2.001510822084277552e-01
4.020100502512562873e-02	1.000000000000000000e+00	1.544760841243253413e-01
4.522613065326633319e-02	1.000000000000000000e+00	1.702243410786124234e-01
5.025125628140703765e-02	1.000000000000000000e+00	1.859163542580627992e-01
5.527638190954774211e-02	1.000000000000000000e+00	2.005397357156151195e-01
6.030150753768843963e-02	1.000000000000000000e+00	2.151026066292051342e-01
6.532663316582915103e-02	1.000000000000000000e+00	2.287174790207193720e-01
7.035175879396984855e-02	8.754885538805137202e-01	2.342032744366996100e-01
7.537688442211055995e-02	8.824678950307091041e-01	2.466310044847895566e-01
8.040201005025125747e-02	8.007309273640932368e-01	2.509136592051164905e-01
8.542713567839195499e-02	8.098675194152581414e-01	2.623343992690725934e-01
9.045226130653266639e-02	8.188670625856555585e-01	2.377270970235794423e-01
9.547738693467336391e-02	8.264808892949596641e-01	2.475603388060409749e-01
1.005025125628140753e-01	8.339775802087360246e-01	2.509192302978306421e-01
1.055276381909547728e-01	8.404200489627625670e-01	2.601115332761367860e-01
1.105527638190954842e-01	8.467612789220829717e-01	2.692556860959851583e-01
1.155778894472361817e-01	8.522833949969628176e-01	2.780102603610386525e-01
1.206030150753768793e-01	8.577171572146445877e-01	2.737018425460636117e-01
1.256281407035175768e-01	8.625029911462072096e-01	2.818232577026546504e-01
1.306532663316583021e-01	7.655598252701415474e-01	2.775802772728893086e-01
1.356783919597989996e-01	7.721286169409137257e-01	2.851536049039524179e-01
1.407035175879396971e-01	7.377677862999205693e-01	2.602067576941948235e-01
1.457286432160803946e-01	7.443797937053688862e-01	2.669746036580207260e-01
1.507537688442211199e-01	7.508973438621679986e-01	2.737061933041832762e-01
1.557788944723618174e-01	7.568796362766211372e-01	2.802323304835867557e-01
1.608040201005025149e-01	7.282261107911096598e-01	2.867218296998778060e-01
1.658291457286432125e-01	7.341847577809997860e-01	2.930189796098285338e-01
1.708542713567839100e-01	7.400589906051998623e-01	2.992792151927209932e-01
1.758793969849246352e-01	7.455210836792658391e-01	3.053592220023286785e-01
1.809045226130653328e-01	7.209741012756087919e-01	3.114021304653014077e-01
1.859296482412060303e-01	7.263857750289910431e-01	3.172760353491596019e-01
1.909547738693467278e-01	7.317212844851035403e-01	3.075026952478727149e-01
1.959798994974874531e-01	7.367320935160130979e-01	3.130347075881197982e-01
2.010050251256281506e-01	7.416713195607667064e-01	3.135630073444143906e-01
2.060301507537688481e-01	7.463242136608970734e-01	3.188780440664862881e-01
2.110552763819095456e-01	7.010212352082995091e-01	3.053965479571771890e-01
2.160804020100502432e-01	7.058842600097260389e-01	3.103904616248946424e-01
2.211055276381909684e-01	7.106804182201329478e-01	3.024135858857411874e-01
2.261306532663316660e-01	7.152395039714702918e-01	3.071577807586618469e-01
2.311557788944723635e-01	7.197350388305162605e-01	3.118728779030286447e-01
2.361809045226130610e-01	7.240178163544997991e-01	3.164905609126714703e-01
2.412060301507537585e-01	7.068958236560956010e-01	3.210790796085691845e-01
2.462311557788944838e-01	7.111186183015920648e-01	3.255752446442740089e-01
2.512562814070351536e-01	7.152827630214564358e-01	3.300422138031235963e-01
2.562814070351758788e-01	7.192709579644253060e-01	3.344215953314075285e-01
2.613065326633166041e-01	7.232031026000874663e-01	3.344358925428831952e-01
2.663316582914572739e-01	7.269757194380309651e-01	3.386765048873057182e-01
2.713567839195979992e-01	7.306947254051194829e-01	3.303647240020259890e-01
2.763819095477387244e-01	7.342687834621185461e-01	3.344255807394303504e-01
2.814070351758793942e-01	7.377915217111196133e-01	3.305089056774982992e-01
2.864321608040201195e-01	7.411822947395547700e-01	3.344272662904124171e-01
2.914572864321607892e-01	7.445239015590774390e-01	3.344373382061824329e-01
2.964824120603015145e-01	7.477451359360907102e-01	3.382442515608344857e-01
3.015075376884422398e-01	7.509192302978305866e-01	3.344377565483093173e-01
3.065326633165829096e-01	7.539833312905993568e-01	3.381191672648958813e-01
3.115577889447236348e-01	7.570022003163319191e-01	3.344381481877472528e-01
3.165829145728643046e-01	7.599203917380163986e-01	3.380020670729533827e-01
3.216080402010050299e-01	7.627951496129595776e-01	3.415419763993539637e-01
3.266331658291457551e-01	7.655776112010773682e-01	3.450308654132926978e-01
3.316582914572864249e-01	7.509212730318257645e-01	3.448719111019012407e-01
3.366834170854271502e-01	7.537130094919038958e-01	3.482716417137232123e-01
3.417085427135678199e-01	7.564634768043113633e-01	3.377448297593578230e-01
3.467336683417085452e-01	7.591338334182992087e-01	3.410129662094202319e-01
3.517587939698492705e-01	7.617644187635681519e-01	3.442588920234142535e-01
3.567839195979899403e-01	7.643211431812160228e-01	3.474635695132812230e-01
3.618090452261306655e-01	7.668395167325992023e-01	3.506460607743722702e-01
3.668341708542713353e-01	7.692897109661783750e-01	3.537891098509725607e-01
3.718592964824120606e-01	7.717029022664342319e-01	3.344400574300071538e-01
3.768844221105527859e-01	7.740530885721123022e-01	3.374312036372337786e-01
3.819095477386934556e-01	7.608986107005616395e-01	3.286836481256859011e-01
3.869346733668341809e-01	7.632633757020396148e-01	3.315716513602495197e-01
3.919597989949749062e-01	7.655926692284953372e-01	3.260932762988496547e-01
3.969849246231155759e-01	7.678664817299165612e-01	3.288965488600024689e-01
4.020100502512563012e-01	7.701059725332031203e-01	3.289672405744569761e-01
4.070351758793969710e-01	7.722939807892875708e-01	3.317132108630584386e-01
4.120603015075376963e-01	7.744487637348167475e-01	3.239246181695881188e-01
4.170854271356784215e-01	7.765557346480832512e-01	3.265830876825070450e-01
4.221105527638190913e-01	7.645271813613522260e-01	3.266763153873122327e-01
4.271356783919598166e-01	7.666481759446583943e-01	3.292832678598718310e-01
4.321608040201004863e-01	7.553010059371266793e-01	3.318731059879550527e-01
4.371859296482412116e-01	7.574290083204893165e-01	3.344402576594068255e-01
4.422110552763819369e-01	7.466995996933821766e-01	3.369902949863822772e-01
4.472361809045226066e-01	7.488288902137807401e-01	3.395185504203878102e-01
4.522613065326633319e-01	7.509267649724029603e-01	3.420296973589753153e-01
4.572864321608040017e-01	7.529862426888540572e-01	3.445199339142739903e-01
4.623115577889447270e-01	7.550151604133836791e-01	3.469930733230736641e-01
4.673366834170854522e-01	7.570082033647880237e-01	3.494461421685918223e-01
4.723618090452261220e-01	7.589715088499332518e-01	3.518821303865929950e-01
4.773869346733668473e-01	7.609012805965310600e-01	3.542988574714368011e-01
4.824120603015075170e-01	7.509277155005797955e-01	3.566985253062699424e-01
4.874371859296482423e-01	7.528604561267877582e-01	3.590797122869248126e-01
4.924623115577889676e-01	7.433708569986977599e-01	3.614438659592509873e-01
4.974874371859296374e-01	7.453027234771778531e-01	3.637902910861736672e-01
5.025125628140703071e-01	7.472061801545039073e-01	3.557518890024992664e-01
5.075376884422110324e-01	7.490812270306758114e-01	3.580358088514694059e-01
5.125628140703517577e-01	7.193125250666477788e-01	3.603034378036147345e-01
5.175879396984924830e-01	7.212785366582521451e-01	3.625554147176343056e-01
5.226130653266332082e-01	6.852821867368283915e-01	3.622624617339571529e-01
5.276381909547738225e-01	6.873430721619031569e-01	3.644765975471225827e-01
5.326633165829145478e-01	6.893759506824833627e-01	3.666746581276718597e-01
5.376884422110552730e-01	6.913839928915305189e-01	3.688584633132597213e-01
5.427135678391959983e-01	6.933645833843021800e-01	3.710262242158514079e-01
5.477386934673367236e-01	6.953217890817280367e-01	3.731803177662612048e-01
5.527638190954774489e-01	6.885662882312798549e-01	3.753184011619044025e-01
5.577889447236180631e-01	6.905049941063340357e-01	3.774433853400113170e-01
5.628140703517587884e-01	6.599399184706019605e-01	3.745012035896924107e-01
